,COMMUNITY AREA NAME,PER CAPITA INCOME,THERM MEAN 2010,TOTAL POPULATION
577,Rogers Park,23714,1812.0,167.0
578,Rogers Park,23714,3985.25,112.0
579,Rogers Park,23714,1709.0,15.0
580,Rogers Park,23714,3274.0,15.0
581,Rogers Park,23714,1689.17,15.0
582,Rogers Park,23714,1004.6,32.0
583,Rogers Park,23714,9653.33,89.0
584,Rogers Park,23714,2286.0,97.0
585,Rogers Park,23714,4154.0,97.0
586,Rogers Park,23714,1837.0,101.0
587,Rogers Park,23714,2512.0,36.0
588,Rogers Park,23714,1669.0,36.0
589,Rogers Park,23714,383.0,288.0
590,Rogers Park,23714,3631.71,288.0
591,Rogers Park,23714,9554.0,189.0
592,Rogers Park,23714,1868.0,189.0
593,Rogers Park,23714,2064.33,36.0
594,Rogers Park,23714,5808.4,107.0
595,Rogers Park,23714,2998.33,107.0
596,Rogers Park,23714,7723.0,146.0
597,Rogers Park,23714,2768.33,146.0
598,Rogers Park,23714,2873.0,146.0
599,Rogers Park,23714,2320.33,38.0
600,Rogers Park,23714,8031.5,53.0
601,Rogers Park,23714,1654.0,53.0
602,Rogers Park,23714,3287.18,225.0
603,Rogers Park,23714,1590.0,225.0
604,Rogers Park,23714,4463.8,316.0
605,Rogers Park,23714,1493.0,111.0
606,Rogers Park,23714,1520.4,76.0
607,Rogers Park,23714,1350.64,76.0
608,Rogers Park,23714,1465.75,30.0
609,Rogers Park,23714,784.0,30.0
610,Rogers Park,23714,1562.67,51.0
611,Rogers Park,23714,1503.0,51.0
612,Rogers Park,23714,1691.5,54.0
613,Rogers Park,23714,1418.0,54.0
614,Rogers Park,23714,1959.0,38.0
615,Rogers Park,23714,5224.5,36.0
616,Rogers Park,23714,1421.67,36.0
617,Rogers Park,23714,2149.86,130.0
618,Rogers Park,23714,5492.0,29.0
619,Rogers Park,23714,1998.5,29.0
620,Rogers Park,23714,155.0,21.0
621,Rogers Park,23714,1517.71,21.0
622,Rogers Park,23714,1388.29,12.0
623,Rogers Park,23714,2582.78,265.0
624,Rogers Park,23714,2475.27,155.0
625,Rogers Park,23714,1678.75,155.0
626,Rogers Park,23714,2554.73,187.0
627,Rogers Park,23714,977.57,149.0
628,West Ridge,21375,1243.0,103.0
629,West Ridge,21375,3681.71,145.0
630,West Ridge,21375,1398.6,135.0
631,West Ridge,21375,1189.8,0.0
632,West Ridge,21375,4954.5,66.0
633,West Ridge,21375,1077.75,23.0
634,West Ridge,21375,1427.23,33.0
635,West Ridge,21375,2512.67,61.0
636,West Ridge,21375,1942.6,120.0
637,West Ridge,21375,2023.0,22.0
638,West Ridge,21375,3964.0,5.0
639,West Ridge,21375,6933.0,69.0
640,West Ridge,21375,2335.0,12.0
641,West Ridge,21375,1342.25,0.0
642,West Ridge,21375,4106.5,97.0
643,West Ridge,21375,2162.0,218.0
644,West Ridge,21375,3818.0,53.0
645,West Ridge,21375,2291.0,97.0
646,West Ridge,21375,1980.5,48.0
647,West Ridge,21375,1532.83,75.0
648,West Ridge,21375,5316.0,148.0
649,West Ridge,21375,2014.33,57.0
650,West Ridge,21375,3721.67,109.0
651,West Ridge,21375,10902.07,44944.0
652,West Ridge,21375,4131.5,146.0
653,West Ridge,21375,1821.92,146.0
654,West Ridge,21375,1012.0,146.0
655,West Ridge,21375,7709.75,117.0
656,West Ridge,21375,2311.88,117.0
657,West Ridge,21375,1429.0,117.0
